FOODCODE,DESCRIPTION,F_TOTAL (cup eq.),F_CITMLB (cup eq.),F_OTHER (cup eq.),F_JUICE (cup eq.),V_TOTAL (cup eq.),V_DRKGR (cup eq.),V_REDOR_TOTAL (cup eq.),V_REDOR_TOMATO (cup eq.),V_REDOR_OTHER (cup eq.),V_STARCHY_TOTAL (cup eq.),V_STARCHY_POTATO (cup eq.),V_STARCHY_OTHER (cup eq.),V_OTHER (cup eq.),V_LEGUMES (cup eq.),G_TOTAL (oz. eq.),G_WHOLE (oz. eq.),G_REFINED (oz. eq.),PF_TOTAL (oz. eq.),PF_MPS_TOTAL (oz. eq.),PF_MEAT (oz. eq.),PF_CUREDMEAT (oz. eq.),PF_ORGAN (oz. eq.),PF_POULT (oz. eq.),PF_SEAFD_HI (oz. eq.),PF_SEAFD_LOW (oz. eq.),PF_EGGS (oz. eq.),PF_SOY (oz. eq.),PF_NUTSDS (oz. eq.),PF_LEGUMES (oz. eq.),D_TOTAL (cup eq.),D_MILK (cup eq.),D_YOGURT (cup eq.),D_CHEESE (cup eq.),OILS (grams),SOLID_FATS (grams),ADD_SUGARS (tsp. eq.),A_DRINKS (no. of drinks)
55101015,"Pancakes, plain, reduced fat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,2.37,0.29,0,0,0,0,0,0,0,0.29,0,0,0,0.24,0.24,0,0,4.7,3.11,0.99,0
55103000,"Pancakes, with fruit",0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.8,0.22,0,0,0,0,0,0,0,0.22,0,0,0,0.19,0.19,0,0,5.54,2.36,0.75,0
55103020,"Pancakes, pumpkin",0,0,0,0,0.08,0,0.08,0,0.08,0,0,0,0,0,1.93,0,1.93,0.23,0,0,0,0,0,0,0,0.23,0,0,0,0.2,0.2,0,0,5.93,2.52,0.8,0
55103100,"Pancakes, with chocolate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,1.93,0.23,0,0,0,0,0,0,0,0.23,0,0,0,0.23,0.23,0,0,5.93,8.16,2.88,0
55105000,"Pancakes, buckwheat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,1.8,0.44,0.29,0,0,0,0,0,0,0,0.29,0,0,0,0.21,0.21,0,0,7.37,3.14,0.6,0
55105100,"Pancakes, cornmeal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,2.24,0.18,0,0,0,0,0,0,0,0.18,0,0,0,0.09,0.09,0,0,2.04,2.72,0.53,0
55105200,"Pancakes, whole grain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,1.12,1.07,0.29,0,0,0,0,0,0,0,0.29,0,0,0,0.21,0.21,0,0,7.37,3.14,0.97,0
55105205,"Pancakes, whole grain, reduced fat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,1.15,1.09,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0.22,0.22,0,0,4.86,3.21,0.99,0
55106000,"Pancakes, gluten free",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,1.56,0.5,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,3.27,0,0.82,0
55200010,"Waffle, NFS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,3.09,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0.07,0.07,0,0,7.25,0.96,0.81,0
55200020,"Waffle, plain, from frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,3.09,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0.07,0.07,0,0,7.25,0.96,0.81,0
55200030,"Waffle, plain, reduced fat, from frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,3.49,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.29,0.29,0,0,3.99,1.41,0,0
55200040,"Waffle, fruit, from frozen",0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0,2.93,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0.07,0.07,0,0,6.88,0.91,0.77,0
